,from,to,distance,img_filename_from,error_code_from,is_valid_from,img_filename_to,error_code_to,is_valid_to
9434,2814,3252,0.924856,ajio/524/524_1.jpg,VALID,True,ajio/8/8_4.jpg,VALID,True
9435,1054,820,0.924842,ajio/257/257_3.jpg,VALID,True,ajio/22/22_1.jpg,VALID,True
9436,3946,1250,0.924842,myntra/19906190/19906190_1.jpg,VALID,True,ajio/287/287_1.jpg,VALID,True
9437,1250,3946,0.924842,ajio/287/287_1.jpg,VALID,True,myntra/19906190/19906190_1.jpg,VALID,True
9438,81,3195,0.92483,ajio/111/111_3.jpg,VALID,True,ajio/78/78_3.jpg,VALID,True
9439,3195,81,0.92483,ajio/78/78_3.jpg,VALID,True,ajio/111/111_3.jpg,VALID,True
9440,4017,2343,0.92483,myntra/19906238/19906238_0.jpg,VALID,True,ajio/451/451_2.jpg,VALID,True
9441,2343,4017,0.92483,ajio/451/451_2.jpg,VALID,True,myntra/19906238/19906238_0.jpg,VALID,True
9442,681,1291,0.924826,ajio/201/201_3.jpg,VALID,True,ajio/29/29_3.jpg,VALID,True
9443,1291,681,0.924826,ajio/29/29_3.jpg,VALID,True,ajio/201/201_3.jpg,VALID,True
9444,1427,2355,0.924805,ajio/314/314_2.jpg,VALID,True,ajio/454/454_1.jpg,VALID,True
9445,1757,2290,0.924789,ajio/36/36_1.jpg,VALID,True,ajio/44/44_1.jpg,VALID,True
9446,2290,1757,0.924789,ajio/44/44_1.jpg,VALID,True,ajio/36/36_1.jpg,VALID,True
9447,432,1931,0.924774,ajio/163/163_2.jpg,VALID,True,ajio/389/389_3.jpg,VALID,True
9448,661,662,0.924771,ajio/198/198_1.jpg,VALID,True,ajio/198/198_2.jpg,VALID,True
9449,662,661,0.924771,ajio/198/198_2.jpg,VALID,True,ajio/198/198_1.jpg,VALID,True
9450,2328,3966,0.924743,ajio/449/449_1.jpg,VALID,True,myntra/19906204/19906204_1.jpg,VALID,True
9451,3033,45,0.924735,ajio/555/555_4.jpg,VALID,True,ajio/105/105_5.jpg,VALID,True
9452,45,3033,0.924735,ajio/105/105_5.jpg,VALID,True,ajio/555/555_4.jpg,VALID,True
9453,3980,1125,0.924726,myntra/19906212/19906212_3.jpg,VALID,True,ajio/267/267_4.jpg,VALID,True
9454,1125,3980,0.924726,ajio/267/267_4.jpg,VALID,True,myntra/19906212/19906212_3.jpg,VALID,True
9455,3895,2329,0.924724,myntra/19906154/19906154_2.jpg,VALID,True,ajio/449/449_2.jpg,VALID,True
9456,3186,2470,0.924702,ajio/77/77_0.jpg,VALID,True,ajio/472/472_0.jpg,VALID,True
9457,2470,3186,0.924702,ajio/472/472_0.jpg,VALID,True,ajio/77/77_0.jpg,VALID,True
9458,917,3167,0.9247,ajio/236/236_3.jpg,VALID,True,ajio/74/74_3.jpg,VALID,True
9459,3167,917,0.9247,ajio/74/74_3.jpg,VALID,True,ajio/236/236_3.jpg,VALID,True
9460,2660,2431,0.924696,ajio/500/500_5.jpg,VALID,True,ajio/46/46_4.jpg,VALID,True
9461,2001,691,0.924695,ajio/400/400_1.jpg,VALID,True,ajio/202/202_1.jpg,VALID,True
9462,691,2001,0.924695,ajio/202/202_1.jpg,VALID,True,ajio/400/400_1.jpg,VALID,True
